,time_x,address,totalBikeStands,availableBikeStands,availableBikes,status,datetime_x,date,day,hour,time_y,mainDescription,detailedDescription,icon,currentTemp,maxTemp,minTemp,pressure,humidity,windSpeed,windAngle,cloudDensity,visibility,datetime_y
27,1521226207000,Kilmainham Gaol,40,29,11,OPEN,2018-03-16 18:50:07,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
28,1521226221000,Denmark Street Great,20,19,1,OPEN,2018-03-16 18:50:21,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
29,1521226227000,Heuston Station (Central),40,1,39,OPEN,2018-03-16 18:50:27,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
30,1521226243000,Heuston Station (Car Park),40,23,17,OPEN,2018-03-16 18:50:43,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
31,1521226244000,John Street West,31,31,0,OPEN,2018-03-16 18:50:44,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
32,1521226253000,New Central Bank,40,34,6,OPEN,2018-03-16 18:50:53,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
33,1521226255000,Hanover Quay,40,40,0,OPEN,2018-03-16 18:50:55,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
34,1521226256000,Rothe Abbey,35,17,18,OPEN,2018-03-16 18:50:56,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
35,1521226265000,Bolton Street,20,20,0,OPEN,2018-03-16 18:51:05,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
36,1521226265000,Mater Hospital,40,35,5,OPEN,2018-03-16 18:51:05,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
37,1521226269000,Leinster Street South,30,0,30,OPEN,2018-03-16 18:51:09,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
38,1521226277000,James Street,40,22,18,OPEN,2018-03-16 18:51:17,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
39,1521226278000,Ormond Quay Upper,29,2,27,OPEN,2018-03-16 18:51:18,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
40,1521226297000,Market Street South,38,12,26,OPEN,2018-03-16 18:51:37,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
41,1521226298000,Georges Quay,20,2,18,OPEN,2018-03-16 18:51:38,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
42,1521226304000,Hardwicke Place,25,22,3,OPEN,2018-03-16 18:51:44,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
43,1521226309000,Sandwith Street,40,0,0,CLOSED,2018-03-16 18:51:49,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
44,1521226313000,Smithfield,30,10,20,OPEN,2018-03-16 18:51:53,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
45,1521226317000,North Circular Road,30,17,13,OPEN,2018-03-16 18:51:57,2018-03-16,Friday,18,1521225000,Clouds,scattered clouds,03d,279.71,280.15,279.15,1000,93,6.7,110,40,10000,2018-03-16 18:30:00
